Brazil (BRA),3,5,9
Russia (RUS),22,25,32
Iran (IRI),4,5,3
China (CHN),38,29,21
France (FRA),11,11,12
South Korea (KOR),13,8,7
Czech Republic (CZE),4,3,3
Great Britain (GBR),29,17,19
Hungary (HUN),8,4,6
Kazakhstan (KAZ),7,1,5
Ukraine (UKR),6,5,8
North Korea (PRK),4,0,2
Australia (AUS),8,17,12
New Zealand (NZL),6,2,5
Japan (JPN),7,14,17
Germany (GER),11,19,14
Italy (ITA),8,9,11
Cuba (CUB),5,3,7
Jamaica (JAM),4,4,4
Netherlands (NED),6,6,8
United States (USA),46,28,29
